time/total_timesteps,time/episodes,rollout/exploration_rate,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/loss,train/learning_rate,train/n_updates
4527,3900,0.9939640000000001,1.16,24,186,0.18,,,
4649,4000,0.9938013333333333,1.22,24,191,0.25,,,
4771,4100,0.9936386666666666,1.22,24,194,0.25,,,
4890,4200,0.9934799999999999,1.19,24,199,0.24,,,
5009,4300,0.9933213333333333,1.19,24,203,0.21,,,
5128,4400,0.9931626666666666,1.19,24,208,0.25,,,
5246,4500,0.9930053333333333,1.18,24,213,0.21,,,
5356,4600,0.9928586666666666,1.1,24,218,0.1,,,
5481,4700,0.9926919999999999,1.25,24,223,0.28,,,
5601,4800,0.992532,1.2,24,228,0.31,,,
5721,4900,0.992372,1.2,24,232,0.26,,,
5840,5000,0.9922133333333334,1.19,24,237,0.24,,,
5952,5100,0.9920640000000001,1.12,24,242,0.14,,,
6072,5200,0.9919039999999999,1.2,24,247,0.24,,,
6184,5300,0.9917546666666666,1.12,24,252,0.12,,,
6293,5400,0.9916093333333333,1.09,24,257,0.09,,,
6414,5500,0.9914480000000001,1.21,24,262,0.22,,,
6536,5600,0.9912853333333334,1.22,24,267,0.29,,,
6658,5700,0.9911226666666666,1.22,24,272,0.25,,,
6773,5800,0.9909693333333334,1.15,24,277,0.21,,,
6890,5900,0.9908133333333333,1.17,24,282,0.18,,,
7006,6000,0.9906586666666666,1.16,24,287,0.21,,,
7126,6100,0.9904986666666666,1.2,24,293,0.24,,,
7243,6200,0.9903426666666666,1.17,24,299,0.22,,,
7361,6300,0.9901853333333333,1.18,24,304,0.23,,,
7475,6400,0.9900333333333333,1.14,24,309,0.15,,,
7594,6500,0.9898746666666667,1.19,24,314,0.23,,,
7711,6600,0.9897186666666666,1.17,24,320,0.21,,,
7820,6700,0.9895733333333334,1.09,24,325,0.1,,,
7936,6800,0.9894186666666667,1.16,23,330,0.2,,,
8052,6900,0.9892639999999999,1.16,23,335,0.17,,,
8166,7000,0.989112,1.14,23,341,0.18,,,
8281,7100,0.9889586666666668,1.15,23,346,0.17,,,
8404,7200,0.9887946666666667,1.23,23,351,0.27,,,
8536,7300,0.9886186666666668,1.32,23,356,0.4,,,
8655,7400,0.9884599999999999,1.19,23,361,0.19,,,
8772,7500,0.9883040000000001,1.17,23,366,0.2,,,
8885,7600,0.9881533333333334,1.13,23,371,0.15,,,
9003,7700,0.9879960000000001,1.18,23,377,0.2,,,
9118,7800,0.9878426666666666,1.15,23,381,0.16,,,
9236,7900,0.9876853333333333,1.18,23,387,0.21,,,
9355,8000,0.9875266666666667,1.19,23,391,0.2,,,
9480,8100,0.98736,1.25,23,396,0.3,,,
9594,8200,0.9872080000000001,1.14,23,401,0.15,,,
9703,8300,0.9870626666666666,1.09,23,406,0.09,,,
9820,8400,0.9869066666666666,1.17,23,411,0.19,,,
9936,8500,0.9867520000000001,1.16,23,416,0.18,,,
10057,8600,0.9865906666666666,1.21,23,421,0.27,,,
10178,8700,0.9864293333333334,1.21,23,426,0.22,,,
10293,8800,0.9862759999999999,1.15,23,431,0.17,,,
10411,8900,0.9861186666666666,1.18,23,436,0.21,,,
10527,9000,0.9859640000000001,1.16,23,441,0.17,,,
10643,9100,0.9858093333333333,1.16,23,446,0.19,,,
